loinc_code,count
72514-3,50700
8867-4,25825
9279-1,25825
72166-2,25159
39156-5,23527
74006-8,21865
93025-5,18887
33914-3,18597
2339-0,17732
6299-2,17732
38483-4,17732
49765-1,17732
2947-0,17732
6298-4,17732
2069-3,17732
20565-8,17732
4548-4,14750
55758-7,14509
2514-8,12047
5811-5,12047
5803-2,12047
5802-4,12047
5794-3,12047
5799-2,12047
25428-4,11796
5770-3,11796
20454-5,11796
5792-7,11775
5804-0,11775
5767-9,11626
32167-9,11524
5778-6,11524
20505-4,11524
5797-6,11524
34533-0,11422
70274-6,10405
2345-7,9780
3094-0,9780
2160-0,9780
17861-6,9780
2951-2,9780
2823-3,9780
2075-0,9780
2028-9,9780
2093-3,9695
2571-8,9695
18262-6,9695
2085-9,9695
718-7,6830
6690-2,6812
789-8,6812
787-2,6812
785-6,6812
786-4,6812
788-0,6812
777-3,6812
2885-2,6738
1751-7,6738
6768-6,6738
1742-6,6738
1920-8,6738
1975-2,6732
4544-3,6603
75626-2,5710
82667-7,5669
76504-0,5616
32207-3,5148
32623-1,5148
10834-0,5066
59576-9,5065
59460-6,4054
59461-4,4054
14959-1,3661
77606-2,2626
8289-1,2626
9843-4,2626
8310-5,2185
2708-6,2100
89204-2,1387
19123-9,1251
413077008,1250
413078003,1250
79893-4,1250
79892-6,1250
71490-7,1250
71491-5,1250
89579-7,973
19926-5,945
6301-6,892
2744-1,863
2019-8,863
2703-7,863
1960-4,863
82810-3,857
2276-4,844
5902-2,806
44261-6,800
3173-2,616
33762-6,604
2498-4,603
2500-7,603
2502-3,603
2777-1,565
38208-5,563
770-8,447
736-9,447
5905-5,447
713-8,447
706-2,447
751-8,447
731-0,447
742-7,447
711-2,447
704-7,447
79819-9,423
79818-1,423
75325-1,354
5821-4,251
13945-1,251
5787-7,251
24124-0,251
8247-9,251
5769-5,251
630-4,251
10230-1,250
48065-7,241
14804-9,241
2157-6,241
1988-5,241
33959-8,241
19994-3,236
69453-9,234
20570-8,227
91148-7,227
94531-1,204
72106-8,166
X9999-0,163
38265-5,138
65750-2,137
29554-3,125
33756-8,124
57905-2,124
6206-7,123
6273-7,123
6082-2,123
6246-3,123
6276-0,123
6106-9,123
6248-9,123
7258-7,123
6189-5,123
6085-5,123
6833-8,123
6095-4,123
6075-6,123
6844-5,123
6158-0,123
32465-7,123
2857-1,123
76690-7,111
55277-8,111
28245-9,111
71802-3,111
63513-6,111
46240-8,111
24467-3,97
75636-1,94
92142-9,89
92141-1,89
92131-2,89
92140-3,89
92139-5,89
92138-7,89
92130-4,89
92134-6,89
94040-3,89
20447-9,86
80382-5,73
80383-3,73
3184-9,69
88020-3,66
88040-1,63
3016-3,62
2746-6,62
2021-4,62
2705-2,62
14627-4,62
2027-1,62
88021-1,59
32693-4,59
2106-3,52
21377-7,51
71425-3,51
8478-0,28
88262-1,27
44963-7,27
21908-9,25
66519-0,16
66529-9,16
66524-0,16
66534-9,16
46288-7,16
21907-1,15
33728-7,15
21905-5,15
21906-3,15
85319-2,15
85318-4,15
85337-4,15
85339-0,15
59557-9,14
10480-2,12
44667-4,10
86923-0,7
70006-2,7
26464-8,6
26453-1,6
30428-7,6
30385-9,6
26515-7,6
42719-5,6
33037-3,6
80271-0,6
271605009,6
285285000,6
870537001,6
85352-3,6
3024-7,5
85343-2,5
85344-0,4
7917-8,2
18752-6,2
61576-5,2
99999-0,2
